subject_id,study_id,session_id,condition,success,audio_check_passed,audio_checks,comprehension_failures,cork_guess,cork_confidence,guess,confidence,collision_check,heard_sound,response,value,timeout,failed_images,failed_audio,failed_video,worker_comments,source_file,Submission id_x,Participant id_x,Status_x,Custom study tncs accepted at_x,Started at_x,Completed at_x,Reviewed at_x,Archived at_x,Time taken_x,Completion code_x,Total approvals_x,Vision_x,Age_x,Sex_x,Ethnicity simplified_x,Country of birth_x,Country of residence_x,Nationality_x,Language_x,Student status_x,Employment status_x,Submission id_y,Participant id_y,Status_y,Custom study tncs accepted at_y,Started at_y,Completed at_y,Reviewed at_y,Archived at_y,Time taken_y,Completion code_y,Total approvals_y,Vision_y,Age_y,Sex_y,Ethnicity simplified_y,Country of birth_y,Country of residence_y,Nationality_y,Language_y,Student status_y,Employment status_y
6726c70622b97e6722fa53d8,68b823b21cc76e5d87283bc6,68b82bf32d075c64d76eacf1,SCE,True,True,1,0,2.0,99.0,2.0,99.0,"At least one, but possibly more",no,"{""Q0"":""summer""}",,False,[],[],[],thank you,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6232/comp-result_9956/data.txt,68b82bf32d075c64d76eacf1,6726c70622b97e6722fa53d8,AWAITING REVIEW,Not Applicable,2025-09-03T11:52:28.438000Z,2025-09-03T11:55:11.025000Z,,2025-09-03T11:55:11.460417Z,163.0,NOCODE,4196,Yes,66,Female,White,United States,United States,United States,English,No,Part-Time,68b82bf32d075c64d76eacf1,6726c70622b97e6722fa53d8,AWAITING REVIEW,Not Applicable,2025-09-03T11:52:28.438000Z,2025-09-03T11:55:11.025000Z,,2025-09-03T11:55:11.460417Z,163.0,NOCODE,4196,Yes,66,Female,White,United States,United States,United States,English,No,Part-Time
5ebe14249a676b1650b48531,68b823b21cc76e5d87283bc6,68b82c77264a7bb72cd6c1a1,LCE,True,True,1,0,2.0,63.0,2.0,75.0,"At least one, but possibly more",yes,"{""Q0"":""summer""}",,False,[],[],[],,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6233/comp-result_9957/data.txt,68b82c77264a7bb72cd6c1a1,5ebe14249a676b1650b48531,AWAITING REVIEW,Not Applicable,2025-09-03T11:54:35.636000Z,2025-09-03T11:57:24.117000Z,,2025-09-03T11:57:24.522358Z,169.0,NOCODE,2582,Yes,30,Female,Black,United States,United States,United States,English,No,Full-Time,68b82c77264a7bb72cd6c1a1,5ebe14249a676b1650b48531,AWAITING REVIEW,Not Applicable,2025-09-03T11:54:35.636000Z,2025-09-03T11:57:24.117000Z,,2025-09-03T11:57:24.522358Z,169.0,NOCODE,2582,Yes,30,Female,Black,United States,United States,United States,English,No,Full-Time
596e51b8b174180001756e7a,68b823b21cc76e5d87283bc6,68b82ce36b3a746798f3e189,LCE,True,True,1,0,4.0,52.0,4.0,54.0,"At least one, but possibly more",no,"{""Q0"":""summer""}",,False,[],[],[],,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6234/comp-result_9958/data.txt,68b82ce36b3a746798f3e189,596e51b8b174180001756e7a,AWAITING REVIEW,Not Applicable,2025-09-03T11:56:23.134000Z,2025-09-03T12:04:48.368000Z,,2025-09-03T12:04:48.731790Z,506.0,NOCODE,1908,Yes,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time,68b82ce36b3a746798f3e189,596e51b8b174180001756e7a,AWAITING REVIEW,Not Applicable,2025-09-03T11:56:23.134000Z,2025-09-03T12:04:48.368000Z,,2025-09-03T12:04:48.731790Z,506.0,NOCODE,1908,Yes,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
6605dd7f17f55ea94c4b4178,68b823b21cc76e5d87283bc6,68b82d0ce52ff8e9cadfa95d,LCE,True,True,1,0,2.0,71.0,2.0,76.0,Exactly one,yes,"{""Q0"":""SUMMER""}",,False,[],[],[],,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6235/comp-result_9959/data.txt,68b82d0ce52ff8e9cadfa95d,6605dd7f17f55ea94c4b4178,AWAITING REVIEW,Not Applicable,2025-09-03T11:57:03.649000Z,2025-09-03T11:59:27.976000Z,,2025-09-03T11:59:28.408216Z,145.0,NOCODE,214,Yes,29,Female,White,Germany,United Kingdom,United Kingdom,English,No,Full-Time,68b82d0ce52ff8e9cadfa95d,6605dd7f17f55ea94c4b4178,AWAITING REVIEW,Not Applicable,2025-09-03T11:57:03.649000Z,2025-09-03T11:59:27.976000Z,,2025-09-03T11:59:28.408216Z,145.0,NOCODE,214,Yes,29,Female,White,Germany,United Kingdom,United Kingdom,English,No,Full-Time
66abb02dca4e0b7e7bdde362,68b823b21cc76e5d87283bc6,68b82fd9ff18f1ebdb742676,LCE,True,True,1,0,4.0,56.0,2.0,41.0,Exactly one,yes,"{""Q0"":""summer""}",,False,[],[],[],"Reminded me of air hockey! I think it would have been useful to know what was coming in the second part of the experiment, so as to take more notice of the paths and collisions in the first part (uncovered)",/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6236/comp-result_9960/data.txt,68b82fd9ff18f1ebdb742676,66abb02dca4e0b7e7bdde362,AWAITING REVIEW,Not Applicable,2025-09-03T12:09:04.697000Z,2025-09-03T12:13:38.422000Z,,2025-09-03T12:13:38.955656Z,274.0,NOCODE,1057,Yes,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,68b82fd9ff18f1ebdb742676,66abb02dca4e0b7e7bdde362,AWAITING REVIEW,Not Applicable,2025-09-03T12:09:04.697000Z,2025-09-03T12:13:38.422000Z,,2025-09-03T12:13:38.955656Z,274.0,NOCODE,1057,Yes,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66588b6663c98bc553bd38a1,68b823b21cc76e5d87283bc6,68b83d14bd79ac1c5e673d66,LCE,True,True,1,0,2.0,8.0,2.0,5.0,"At least one, but possibly more",yes,"{""Q0"":""summer""}",,False,[],[],[],,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6237/comp-result_9961/data.txt,68b83d14bd79ac1c5e673d66,66588b6663c98bc553bd38a1,AWAITING REVIEW,Not Applicable,2025-09-03T13:05:29.056000Z,2025-09-03T13:07:36.561000Z,,2025-09-03T13:07:36.921219Z,128.0,NOCODE,1092,Yes,25,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),68b83d14bd79ac1c5e673d66,66588b6663c98bc553bd38a1,AWAITING REVIEW,Not Applicable,2025-09-03T13:05:29.056000Z,2025-09-03T13:07:36.561000Z,,2025-09-03T13:07:36.921219Z,128.0,NOCODE,1092,Yes,25,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
58cbd23d5d42920001414dd8,68b823b21cc76e5d87283bc6,68b83d15382d3e7e11b6b4a8,SCE,True,True,1,0,4.0,57.0,4.0,56.0,"At least one, but possibly more",no,"{""Q0"":""summer""}",,False,[],[],[],Have you ever had shoo fly pie? It makes Coke taste bitter.,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6238/comp-result_9962/data.txt,68b83d15382d3e7e11b6b4a8,58cbd23d5d42920001414dd8,AWAITING REVIEW,Not Applicable,2025-09-03T13:05:30.814000Z,2025-09-03T13:08:03.337000Z,,2025-09-03T13:08:03.711144Z,153.0,NOCODE,10992,Yes,58,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,68b83d15382d3e7e11b6b4a8,58cbd23d5d42920001414dd8,AWAITING REVIEW,Not Applicable,2025-09-03T13:05:30.814000Z,2025-09-03T13:08:03.337000Z,,2025-09-03T13:08:03.711144Z,153.0,NOCODE,10992,Yes,58,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
602d1d984787306b190f0b43,68b823b21cc76e5d87283bc6,68b83d1b96ba9be9d79c8249,LCE,True,True,1,0,4.0,77.0,4.0,78.0,"At least one, but possibly more",yes,"{""Q0"":""summer""}",,False,[],[],[],,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6240/comp-result_9964/data.txt,68b83d1b96ba9be9d79c8249,602d1d984787306b190f0b43,AWAITING REVIEW,Not Applicable,2025-09-03T13:05:35.669000Z,2025-09-03T13:07:35.819000Z,,2025-09-03T13:07:38.484126Z,121.0,NOCODE,1633,Yes,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),68b83d1b96ba9be9d79c8249,602d1d984787306b190f0b43,AWAITING REVIEW,Not Applicable,2025-09-03T13:05:35.669000Z,2025-09-03T13:07:35.819000Z,,2025-09-03T13:07:38.484126Z,121.0,NOCODE,1633,Yes,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
62e3f7b224ec70641fd86b7b,68b823b21cc76e5d87283bc6,68b83d1bd20b24443ca15c72,LCE,True,True,1,0,2.0,21.0,2.0,17.0,Exactly one,yes,"{""Q0"":""summer""}",,False,[],[],[],,/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6241/comp-result_9965/data.txt,68b83d1bd20b24443ca15c72,62e3f7b224ec70641fd86b7b,AWAITING REVIEW,Not Applicable,2025-09-03T13:05:34.730000Z,2025-09-03T13:09:05.731000Z,,2025-09-03T13:09:06.098192Z,212.0,NOCODE,2489,Yes,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),68b83d1bd20b24443ca15c72,62e3f7b224ec70641fd86b7b,AWAITING REVIEW,Not Applicable,2025-09-03T13:05:34.730000Z,2025-09-03T13:09:05.731000Z,,2025-09-03T13:09:06.098192Z,212.0,NOCODE,2489,Yes,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
58954e2dc88c680001dd4b7e,68b823b21cc76e5d87283bc6,68b83d170e6b03a75657b30f,LCE,True,True,1,0,2.0,51.0,2.0,51.0,Exactly one,yes,"{""Q0"":""summer""}",,False,[],[],[],no thoughts weurd study ;},/Volumes/HARD1/self-modelling/colliding_discs/data/pilot3/jatos_results_20250903144545/study_result_6242/comp-result_9966/data.txt,68b83d170e6b03a75657b30f,58954e2dc88c680001dd4b7e,AWAITING REVIEW,Not Applicable,2025-09-03T13:05:36.659000Z,2025-09-03T13:09:18.375000Z,,2025-09-03T13:09:18.749867Z,222.0,NOCODE,5155,Yes,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,68b83d170e6b03a75657b30f,58954e2dc88c680001dd4b7e,AWAITING REVIEW,Not Applicable,2025-09-03T13:05:36.659000Z,2025-09-03T13:09:18.375000Z,,2025-09-03T13:09:18.749867Z,222.0,NOCODE,5155,Yes,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
